c0p3md1,-0.0224726
c1p3md1,0.1585254
c2p3md1,0.1767996
c3p3md1,0.1545093
c4p3md1,0.2192705
c5p3md1,-0.0022626
c6p3md1,-0.0059571
mup3md1,-0.1409151
ar1p3md5,0.2222167
ar2p3md5,0.1349748
c0p3md5,-0.0013037
cltp3md5,-0.0411661
dum1p3dmd5,-0.0146573
p70p3md5,0.1191467
ulc0p3m5,0.101961
ulc1p3m5,0.1174385
ar1p3gd5,0.1803656
ar2p3gd5,0.2586008
c0p3gd5,0.0076785
cltp3gd5,-0.0100416
dum1p3gd5,-0.0168268
ulc0p3g5,0.3381548
ulc1p3g5,0.1282725
ar1p3ad5,1.5367986
ar2p3ad5,-0.7500747
c0p3ad5,0.0000518
cltp3ad5,-0.0069908
p70p3ad5,0.0257724
p71p3ad5,0.0211119
ulc1p3a5,0.0662054
ar1p51md1,0.6103005
c0p51md1,-0.4171835
c1p51md1,-0.1819344
ctlp51md1,-0.0014868
mup51md1,-0.0589843
c0p51md5,0.015238
cltp51md5,-0.0177005
dum1p51md5,-0.0284378
ulc0p51m5,0.3664472
ulc1p51m5,0.3776339
ar2p51td1,0.5069915
c0p51td1,-0.1549788
mu0p51td1,-0.0493142
mu1p51td1,-0.019024
pib0p51td1,2.1750191
ar1p51td5,0.3881931
c0p51td5,-0.0007793
cltp51td5,-0.0200437
p70p51td5,0.1138265
ulc0p51td5,0.1513848
ulc1p51td5,0.1823222
ar1p51gd5,0.329884
c0p51gd5,-0.0013695
cltp51gd5,-0.0700501
dum1p51gd5,0.0233454
p70p51gd5,0.1128763
ulc0p51gg5,0.3063248
c1p6d1,0.6585947
c3p6d1,-0.2984582
clt0p6d1,0.3392599
clt2p6d1,-0.0005457
mup6d1,-0.0890575
ar2p6d5,0.3469046
c0p6d5,-0.0303004
dum1p6d5gd5,-0.0176546
petfx0p6d5,0.2636563
petfx1p6d5,0.1142856
ulc0p6d5,0.2269432
ar1p523d1,0.7171498
c0p523d1,-722.09457
c1p523d1,0.1105482
c2p523d1,0.2050373
c3p523d1,-0.0004927
c1p7d1,2.1986677
clt0p7d1,-0.0748946
clt2p7d1,0.0004163
mup7d1,-0.0449457
p7d50p7d1,-0.1181565
ulc0p7d1,0.8527745
ulc1p7d1,-0.4778571
ar1p7d5,0.1895571
c0p7d5,-0.1235028
clt1p7d5,-0.0269295
petfm0p7d5,0.6425553
ar1empsd7,0.8585733
c0empsd7,-0.0003707
c1empsd7,-0.0102359
ar1d11d5,0.3388148
c0d11d5,0.022298
c3d11dim5,-0.0086962
dum1d11d5,-0.007491
pc0d11d5,0.4251324
ard41s14s3,0.9815754
c0d14s14s3,-0.0008702
r3md41s14s3,0.0004039
rl0d41s14s3,0.0001611
ac1d4zs143,0.0056554
ar1d4zs143,0.8939868
clt1p6d5,-0.01
p1d5s14,0.6
